title,author,supervisors,date,faculty,program,type,language,abstract,keywords
What you see is what you get: A randomized controlled trial of observationally learned nocebo effects on itch,"Schothorst, Myrthe van","['Blythe, J.', 'Vliet, L. van']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De vicieuze cirkel van seksueel overschrijdend gedrag: Het verband tussen het ervaren van seksueel misbruik gedurende de kindertijd en het vertonen van seksueel overschrijdend gedrag gedurende de adolescentie en volwassenheid,"Mesman, M.W.","['Bilo, J.E.', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
De rol van werkgeheugen en aandacht bij rekenvaardigheden van basisschoolleerlingen in een virtuele en klassieke setting,"Dijk, Rosa van","['Bergwerff, C.E.', 'Dijkxhoorn, Y.M.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Van slachtoffer naar pleger van seksueel misbruik: Een meta-analyse van gepubliceerde studies met (officiële) rapportages van seksueel misbruik bij kinderen,"Botman, Sterre","['Bilo, J.E.', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Populist radical right parties in the European Parliament: Measuring the ‘constraining effects of incumbency’,"Meulen, Douwe van der","['Veer, H. van der', 'Otjes, S.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Gaming experience predicts sense of agency and reaction to variable reward,"Lammers, Nadine A.","['Olfers, K.', 'Haazebroek, P.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
Doneergedrag in de adolescentie: De invloed van geslacht en ontvanger op het doneergedrag,"Mooij, Irene de","['Groep, S. van de', 'Peters, S.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
The reformed rentier state: The social contract in modern-day Saudi Arabia,"Wilmink, C.L.M.","['Blarel, Nicolas', 'Cranenburgh, Oda van']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
Differentiatie in de klas: het verschil tusen leeftijd en niveaugroepen op de competentiebelevng van leerlingen in het basisonderwijs,"Bogaerdt, Eline van den","['Prast, Emilie', 'Jolles, Dietsje']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
The impact of uncertainty conditions on reaction times and post-error slowing,"Peshovska, Slobodanka","['Molen, M.J.W. van der', 'Kortink, E.D.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
"Volks-verhalen en lokale verbondenheid in Eeklo, Breukelen en daarbuiten","Auée, Caroline","['Keurs, Pieter ter', 'Jansen, Jan']",2019,Faculty of Social & Behavioural Sciences,Cultural Anthropology and Development Sociology (BSc),Bachelor thesis,nl,,
Differentiatie voor en mindsets van hoogpresterende leerlingen: Nieuwe inzichten vanuit leerkracht- en leerlingperspectieven,"Heijst, Lynn van","['Stroet, K.', 'Koornneef, A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
What we remember about things we don’t remember?,"Diaconescu, Miruna","['Richter, F.', 'Kim, Y.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
"Dader-, slachtoffer- en delict karakteristieken bij diverse typen parricide: Een onderzoek naar wat de dader-, slachtoffer- en delict karakteristieken zijn die verband houden met de diverse typen parricide aan de hand van moordgegevens van de afgelopen 25 jaar in Nederland","Jansen, Marleen","['Zwaanswijk, Wendy', 'Alink, L.R.A.']",2019,Faculty of Social & Behavioural Sciences,Education and Child Studies (MSc),Master thesis,nl,,
Game of thumbs: Does social anxiety influence learning from peer feedback?,"Hyde, Siobhán","['Molen, M.J.W. van der', 'Kortink, E.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
Institutional adaptation: How China adjusts the International order,"Arends, Aaron","['Meegdenburg, Hilde van', 'Tromble, Rebekah K.']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
"Hoe beïnvloedt het lezen van informatie, die wel of niet overeenkomt met de achtergrondkennis, het onthouden van teksten? Wat is de rol van de executieve functie werkgeheugen bij het onthouden van teksten?","Verweij, Sara","['Jansen, L.', 'Moort, M. van']",2019,Faculty of Social & Behavioural Sciences,Pedagogische wetenschappen (BSc),Bachelor thesis,nl,,
"The role of gender and age in the association between psychosocial factors and quality of life in end stage renal disease: Examination of the relationship of depression, anxiety, perceived social support, self-efficacy, and self-management with HR-QOL, and if these relationships are moderated by gender and age","Smakman, Maartje","['Tommel, J.', 'Brosschot, J.']",2019,Faculty of Social & Behavioural Sciences,Psychology (MSc),Master thesis,en,,
De effecten van prosociale leiders in groepsonderhandelingen,"Kroes, Nathan","['Steinel, W.', 'Doesum, N.J. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
Support for aggression in moral superiority: Increased support for aggression in people feeling morally superior compared to superior in terms of competence,"Schroeder, Ana-Rosa","['Pliskin, R.', 'Scheepers, D.T.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,en,,
A cross national study: State capacity under dictatorships,"Elen, Maurits","['Nem Singh, J.T.', 'Giuseppe, M. di']",2019,Faculty of Social & Behavioural Sciences,Political Science (MSc),Master thesis,en,,
The rise of gender quotas in Africa: The influence of gender quotas on support for democracy,"klein Gunnewiek, Dorine","['Demarest, L.', 'Giuseppe, M. di']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
The relationship between economic inequality and contemporary Western populism,"Laan, Arjan","['Coppenolle, B. van', 'Reuler, E. van']",2019,Faculty of Social & Behavioural Sciences,Politicologie (BSc),Bachelor thesis,en,,
Verschillen in coöperatie tussen geslacht in het Prisoner's Dilemma en de egg hunt game,"Voeten, Daphne","['Behrens, F.', 'Steenbergen, H. van']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
De invloed van stemming en taakcontext op motivatie,"Kalverda, Isabel","['Steenbergen, H. van', 'Wehebrink, K.S.']",2019,Faculty of Social & Behavioural Sciences,Psychologie (BSc),Bachelor thesis,nl,,
